transaction_id,timestamp,asset_type,asset_name,amount,price,description
TX2025-03-13 19:39:00,2025-03-13 19:39:00,stock,AAPL,210.32,210.24,Stock trade for AAPL at 2025-03-13 19:39:00
TX2025-03-13 19:38:00,2025-03-13 19:38:00,stock,AAPL,210.19,210.31,Stock trade for AAPL at 2025-03-13 19:38:00
TX2025-03-13 19:37:00,2025-03-13 19:37:00,stock,AAPL,210.35,210.34,Stock trade for AAPL at 2025-03-13 19:37:00
TX2025-03-13 19:36:00,2025-03-13 19:36:00,stock,AAPL,210.344,210.33,Stock trade for AAPL at 2025-03-13 19:36:00
TX2025-03-13 19:35:00,2025-03-13 19:35:00,stock,AAPL,210.33,210.25,Stock trade for AAPL at 2025-03-13 19:35:00
TX2025-03-13 19:34:00,2025-03-13 19:34:00,stock,AAPL,210.45,210.35,Stock trade for AAPL at 2025-03-13 19:34:00
TX2025-03-13 19:33:00,2025-03-13 19:33:00,stock,AAPL,210.35,210.35,Stock trade for AAPL at 2025-03-13 19:33:00
TX2025-03-13 19:32:00,2025-03-13 19:32:00,stock,AAPL,210.4474,210.35,Stock trade for AAPL at 2025-03-13 19:32:00
TX2025-03-13 19:31:00,2025-03-13 19:31:00,stock,AAPL,210.45,210.5,Stock trade for AAPL at 2025-03-13 19:31:00
TX2025-03-13 19:30:00,2025-03-13 19:30:00,stock,AAPL,210.5,210.3825,Stock trade for AAPL at 2025-03-13 19:30:00
TX2025-03-13 19:29:00,2025-03-13 19:29:00,stock,AAPL,210.45,210.4,Stock trade for AAPL at 2025-03-13 19:29:00
TX2025-03-13 19:28:00,2025-03-13 19:28:00,stock,AAPL,210.45,210.5,Stock trade for AAPL at 2025-03-13 19:28:00
TX2025-03-13 19:27:00,2025-03-13 19:27:00,stock,AAPL,210.4,210.4988,Stock trade for AAPL at 2025-03-13 19:27:00
TX2025-03-13 19:26:00,2025-03-13 19:26:00,stock,AAPL,210.45,210.4,Stock trade for AAPL at 2025-03-13 19:26:00
TX2025-03-13 19:25:00,2025-03-13 19:25:00,stock,AAPL,210.41,210.38,Stock trade for AAPL at 2025-03-13 19:25:00
TX2025-03-13 19:24:00,2025-03-13 19:24:00,stock,AAPL,210.38,210.38,Stock trade for AAPL at 2025-03-13 19:24:00
TX2025-03-13 19:23:00,2025-03-13 19:23:00,stock,AAPL,210.3799,210.34,Stock trade for AAPL at 2025-03-13 19:23:00
TX2025-03-13 19:22:00,2025-03-13 19:22:00,stock,AAPL,210.34,210.32,Stock trade for AAPL at 2025-03-13 19:22:00
TX2025-03-13 19:21:00,2025-03-13 19:21:00,stock,AAPL,210.31,210.39,Stock trade for AAPL at 2025-03-13 19:21:00
TX2025-03-13 19:20:00,2025-03-13 19:20:00,stock,AAPL,210.4347,210.45,Stock trade for AAPL at 2025-03-13 19:20:00
TX2025-03-13 19:19:00,2025-03-13 19:19:00,stock,AAPL,210.4486,210.3037,Stock trade for AAPL at 2025-03-13 19:19:00
TX2025-03-13 19:18:00,2025-03-13 19:18:00,stock,AAPL,210.3218,210.4,Stock trade for AAPL at 2025-03-13 19:18:00
TX2025-03-13 19:17:00,2025-03-13 19:17:00,stock,AAPL,210.43,210.46,Stock trade for AAPL at 2025-03-13 19:17:00
TX2025-03-13 19:16:00,2025-03-13 19:16:00,stock,AAPL,210.49,210.58,Stock trade for AAPL at 2025-03-13 19:16:00
TX2025-03-13 19:15:00,2025-03-13 19:15:00,stock,AAPL,210.58,210.59,Stock trade for AAPL at 2025-03-13 19:15:00
TX2025-03-13 19:14:00,2025-03-13 19:14:00,stock,AAPL,210.54,210.57,Stock trade for AAPL at 2025-03-13 19:14:00
TX2025-03-13 19:13:00,2025-03-13 19:13:00,stock,AAPL,210.57,210.51,Stock trade for AAPL at 2025-03-13 19:13:00
TX2025-03-13 19:12:00,2025-03-13 19:12:00,stock,AAPL,210.45,210.4,Stock trade for AAPL at 2025-03-13 19:12:00
TX2025-03-13 19:11:00,2025-03-13 19:11:00,stock,AAPL,210.57,210.48,Stock trade for AAPL at 2025-03-13 19:11:00
TX2025-03-13 19:10:00,2025-03-13 19:10:00,stock,AAPL,210.4791,210.344,Stock trade for AAPL at 2025-03-13 19:10:00
TX2025-03-13 19:09:00,2025-03-13 19:09:00,stock,AAPL,210.5,210.41,Stock trade for AAPL at 2025-03-13 19:09:00
TX2025-03-13 19:08:00,2025-03-13 19:08:00,stock,AAPL,210.3,210.449,Stock trade for AAPL at 2025-03-13 19:08:00
TX2025-03-13 19:07:00,2025-03-13 19:07:00,stock,AAPL,210.69,210.45,Stock trade for AAPL at 2025-03-13 19:07:00
TX2025-03-13 19:06:00,2025-03-13 19:06:00,stock,AAPL,210.49,210.5,Stock trade for AAPL at 2025-03-13 19:06:00
TX2025-03-13 19:05:00,2025-03-13 19:05:00,stock,AAPL,210.39,210.38,Stock trade for AAPL at 2025-03-13 19:05:00
TX2025-03-13 19:04:00,2025-03-13 19:04:00,stock,AAPL,210.39,210.47,Stock trade for AAPL at 2025-03-13 19:04:00
TX2025-03-13 19:03:00,2025-03-13 19:03:00,stock,AAPL,210.47,210.55,Stock trade for AAPL at 2025-03-13 19:03:00
TX2025-03-13 19:02:00,2025-03-13 19:02:00,stock,AAPL,210.55,210.51,Stock trade for AAPL at 2025-03-13 19:02:00
TX2025-03-13 19:01:00,2025-03-13 19:01:00,stock,AAPL,210.4537,210.51,Stock trade for AAPL at 2025-03-13 19:01:00
TX2025-03-13 19:00:00,2025-03-13 19:00:00,stock,AAPL,210.6,210.51,Stock trade for AAPL at 2025-03-13 19:00:00
TX2025-03-13 18:59:00,2025-03-13 18:59:00,stock,AAPL,210.51,210.6488,Stock trade for AAPL at 2025-03-13 18:59:00
TX2025-03-13 18:58:00,2025-03-13 18:58:00,stock,AAPL,210.65,210.65,Stock trade for AAPL at 2025-03-13 18:58:00
TX2025-03-13 18:57:00,2025-03-13 18:57:00,stock,AAPL,210.674,210.69,Stock trade for AAPL at 2025-03-13 18:57:00
TX2025-03-13 18:56:00,2025-03-13 18:56:00,stock,AAPL,210.65,210.69,Stock trade for AAPL at 2025-03-13 18:56:00
TX2025-03-13 18:55:00,2025-03-13 18:55:00,stock,AAPL,210.65,210.69,Stock trade for AAPL at 2025-03-13 18:55:00
TX2025-03-13 18:54:00,2025-03-13 18:54:00,stock,AAPL,210.69,210.6992,Stock trade for AAPL at 2025-03-13 18:54:00
TX2025-03-13 18:53:00,2025-03-13 18:53:00,stock,AAPL,210.74,210.6231,Stock trade for AAPL at 2025-03-13 18:53:00
TX2025-03-13 18:52:00,2025-03-13 18:52:00,stock,AAPL,210.7,210.75,Stock trade for AAPL at 2025-03-13 18:52:00
TX2025-03-13 18:51:00,2025-03-13 18:51:00,stock,AAPL,210.73,210.61,Stock trade for AAPL at 2025-03-13 18:51:00
TX2025-03-13 18:50:00,2025-03-13 18:50:00,stock,AAPL,210.64,210.59,Stock trade for AAPL at 2025-03-13 18:50:00
TX2025-03-13 18:49:00,2025-03-13 18:49:00,stock,AAPL,210.59,210.59,Stock trade for AAPL at 2025-03-13 18:49:00
TX2025-03-13 18:48:00,2025-03-13 18:48:00,stock,AAPL,210.59,210.5992,Stock trade for AAPL at 2025-03-13 18:48:00
TX2025-03-13 18:47:00,2025-03-13 18:47:00,stock,AAPL,210.59,210.558,Stock trade for AAPL at 2025-03-13 18:47:00
TX2025-03-13 18:46:00,2025-03-13 18:46:00,stock,AAPL,210.5988,210.6,Stock trade for AAPL at 2025-03-13 18:46:00
TX2025-03-13 18:45:00,2025-03-13 18:45:00,stock,AAPL,210.522,210.6,Stock trade for AAPL at 2025-03-13 18:45:00
TX2025-03-13 18:44:00,2025-03-13 18:44:00,stock,AAPL,210.6,210.69,Stock trade for AAPL at 2025-03-13 18:44:00
TX2025-03-13 18:43:00,2025-03-13 18:43:00,stock,AAPL,210.66,210.7,Stock trade for AAPL at 2025-03-13 18:43:00
TX2025-03-13 18:42:00,2025-03-13 18:42:00,stock,AAPL,210.7,210.75,Stock trade for AAPL at 2025-03-13 18:42:00
TX2025-03-13 18:41:00,2025-03-13 18:41:00,stock,AAPL,210.75,210.7,Stock trade for AAPL at 2025-03-13 18:41:00
TX2025-03-13 18:40:00,2025-03-13 18:40:00,stock,AAPL,210.6,210.64,Stock trade for AAPL at 2025-03-13 18:40:00
TX2025-03-13 18:39:00,2025-03-13 18:39:00,stock,AAPL,210.55,210.5,Stock trade for AAPL at 2025-03-13 18:39:00
TX2025-03-13 18:38:00,2025-03-13 18:38:00,stock,AAPL,210.5,210.5,Stock trade for AAPL at 2025-03-13 18:38:00
TX2025-03-13 18:37:00,2025-03-13 18:37:00,stock,AAPL,210.5,210.48,Stock trade for AAPL at 2025-03-13 18:37:00
TX2025-03-13 18:36:00,2025-03-13 18:36:00,stock,AAPL,210.48,210.48,Stock trade for AAPL at 2025-03-13 18:36:00
TX2025-03-13 18:35:00,2025-03-13 18:35:00,stock,AAPL,210.47,210.5,Stock trade for AAPL at 2025-03-13 18:35:00
TX2025-03-13 18:34:00,2025-03-13 18:34:00,stock,AAPL,210.5,210.46,Stock trade for AAPL at 2025-03-13 18:34:00
TX2025-03-13 18:33:00,2025-03-13 18:33:00,stock,AAPL,210.45,210.38,Stock trade for AAPL at 2025-03-13 18:33:00
TX2025-03-13 18:32:00,2025-03-13 18:32:00,stock,AAPL,210.46,210.47,Stock trade for AAPL at 2025-03-13 18:32:00
TX2025-03-13 18:31:00,2025-03-13 18:31:00,stock,AAPL,210.48,210.3,Stock trade for AAPL at 2025-03-13 18:31:00
TX2025-03-13 18:30:00,2025-03-13 18:30:00,stock,AAPL,210.47,210.48,Stock trade for AAPL at 2025-03-13 18:30:00
TX2025-03-13 18:29:00,2025-03-13 18:29:00,stock,AAPL,210.48,210.34,Stock trade for AAPL at 2025-03-13 18:29:00
TX2025-03-13 18:28:00,2025-03-13 18:28:00,stock,AAPL,210.34,210.29,Stock trade for AAPL at 2025-03-13 18:28:00
TX2025-03-13 18:27:00,2025-03-13 18:27:00,stock,AAPL,210.3,210.34,Stock trade for AAPL at 2025-03-13 18:27:00
TX2025-03-13 18:26:00,2025-03-13 18:26:00,stock,AAPL,210.3,210.28,Stock trade for AAPL at 2025-03-13 18:26:00
TX2025-03-13 18:25:00,2025-03-13 18:25:00,stock,AAPL,210.28,210.25,Stock trade for AAPL at 2025-03-13 18:25:00
TX2025-03-13 18:24:00,2025-03-13 18:24:00,stock,AAPL,210.25,210.3,Stock trade for AAPL at 2025-03-13 18:24:00
TX2025-03-13 18:23:00,2025-03-13 18:23:00,stock,AAPL,210.2983,210.29,Stock trade for AAPL at 2025-03-13 18:23:00
TX2025-03-13 18:22:00,2025-03-13 18:22:00,stock,AAPL,210.3,210.3,Stock trade for AAPL at 2025-03-13 18:22:00
TX2025-03-13 18:21:00,2025-03-13 18:21:00,stock,AAPL,210.3,210.285,Stock trade for AAPL at 2025-03-13 18:21:00
TX2025-03-13 18:20:00,2025-03-13 18:20:00,stock,AAPL,210.285,210.3,Stock trade for AAPL at 2025-03-13 18:20:00
